Title,Abstract,StoreId,ArticleType,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
THE WAR IN THE WEST.,"The steamer David Tatum, which reached Cairo last night, reports a part of FORREST'S forces crossing the Cumberland River at Eddyville. A gunboat has been sent up the river to look after the matter.",91802468,Historical Newspapers," Copyright New York Times Company Mar 31, 1864"," 78720627 , 1446280 , 113715", article," Mar 31, 1864",0362-4331, English, English, 5," New York, N.Y.","Mar 31, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91802468?accountid=10747, 5,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=THE+WAR+IN+THE+WEST.%3A+CAPTURE+OF+ALEXANDRIA%2C+LA.+RETREAT+OF+THE+REBELS+TO+SHREVESPORT+ACCIDENTAL+DESTRUCTION+OF+FORT+DE+RUSSEY+FORREST%27S+MOVEMENTS+IN+KENTUCKY+CONTINUED+EXCITEMENT+AT+PADUCAH.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1864-03-31&amp;volume=&amp;issue=&amp;spage=5&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
Progress of the Red River Expedition The Brownsville Custom-House The United States District Court List of Prize Cases Disposed of.,"There is news from Red River that Fort De Russy, on the 14th inst., and Alexandria on the 15th inst., were captured. With the fort were taken some three hundred prisoners, including twenty-four officers, also ten siege-guns, with a large quantity of ammunition and commissary stores. The city is full of political excitement with the preliminary work of electing members to the coming State Convention. It is believed here that the best men will be selected for the important trust.",91832587,Historical Newspapers," Copyright New York Times Company Mar 29, 1864"," 78720555 , 1446279 , 113715", article," Mar 29, 1864",0362-4331, English, English, 9," New York, N.Y.","Mar 29, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91832587?accountid=10747, 9,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=Progress+of+the+Red+River+Expedition+The+Brownsville+Custom-House+The+United+States+District+Court+List+of+Prize+Cases+Disposed+of.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1864-03-29&amp;volume=&amp;issue=&amp;spage=9&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
