Title,Abstract,StoreId,ArticleType,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
Department of the Southwest.,"To Major-Gen. Pleasonton: I have just returned from Cassville, and will forward my official report of the campaign in a few days. No one has fired a shot at the enemy since the battle of Newtonia, where they gained great advantage over BLUNT at first, but my command got up in time to turn the enemy's right and the tide of things.",91805536,Historical Newspapers," Copyright New York Times Company Nov 20, 1864"," 78734619 , 1446420 , 113715", article," Nov 20, 1864",0362-4331, English, English, 3," New York, N.Y.","Nov 20, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91805536?accountid=10747, 3,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=Department+of+the+Southwest.%3A+OFFICIAL+DISPATCH+FROM+GEN.+SANBORN.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1864-11-20&amp;volume=&amp;issue=&amp;spage=3&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
THE WAR IN MISSOURI.,,91853290,Historical Newspapers," Copyright New York Times Company Nov 12, 1864"," 78734047 , 1446414 , 113715", front_page," Nov 12, 1864",0362-4331, English, English, 1," New York, N.Y.","Nov 12, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91853290?accountid=10747, 1,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=THE+WAR+IN+MISSOURI.%3A+THE+FIGHT+AT+NEWTONIA.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1864-11-12&amp;volume=&amp;issue=&amp;spage=1&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
